Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
1,18730,135016,7.208542445,0.8781756923757366,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_1,dead,TP,AS_A_I_15_4-20240720_13,AS_A_I_15_4-20240720_13
1,26168,161340,6.165545704677469,0.8604432877530559,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_1,dead,FP,NA,NA
2,138426,1027113,7.419942785314897,0.8812343473706157,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_2,dead,FP,NA,NA
3,20266,76157,3.757870324681733,0.78982193,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_3,late_infected,FP,NA,NA
4,23238,73047,3.143428866511748,0.7586539959495249,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_4,late_infected,FP,NA,NA
5,21385,69874,3.267430441898527,0.7656669479174657,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_5,late_infected,FP,NA,NA
1,17790,40732,2.289600899381675,0.6960117562626021,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_1,late_infected,FP,NA,NA
2,22587,83514,3.697436579,0.7871179347979755,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_2,late_infected,FP,NA,NA
3,59760,158363,2.649983266398929,0.7260261412139023,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_3,late_infected,FP,NA,NA
4,18928,36639,1.9357037193575657,0.6593661705688628,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_4,late_infected,FP,NA,NA
5,68813,215498,3.131646636536701,0.7579657487751089,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_5,late_infected,FP,NA,NA
6,80088,340408,4.2504245330136845,0.8095392108367262,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_6,dead,FP,NA,NA
7,32164,121815,3.7873087924387514,0.7911143727391398,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_7,late_infected,FP,NA,NA
8,18659,73510,3.939653786376548,0.7975566622183163,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_8,late_infected,FP,NA,NA
9,24688,58571,2.372448152948801,0.7034795037173158,AS_A_I_22_5-20240718,AS_A_I_22_5-20240718_9,late_infected,FP,NA,NA
