Cell_Number,Cell_Source,R_Area,R_Percent,G_Area,G_Percent,B_Area,B_Percent,BR_Ratio,Manual_Match,Status
1,AS_A_I_15_4-20240720,3768,0,3768,0,3768,16,0,AS_A_I_15_4-20240720_1,late_infected
2,AS_A_I_15_4-20240720,2598,0,2598,0,2598,0,0,AS_A_I_15_4-20240720_2,late_infected
3,AS_A_I_15_4-20240720,3656,0,3656,0,3656,0,0,AS_A_I_15_4-20240720_3,uninfected
4,AS_A_I_15_4-20240720,2725,0,2725,0,2725,97,0,AS_A_I_15_4-20240720_4,dead
5,AS_A_I_15_4-20240720,3590,0,3590,0,3590,0,0,AS_A_I_15_4-20240720_5,uninfected
6,AS_A_I_15_4-20240720,1594,0,1594,0,1594,0,0,AS_A_I_15_4-20240720_6,late_infected
7,AS_A_I_15_4-20240720,3874,0,3874,0,3874,7,0,AS_A_I_15_4-20240720_7,early_infected
8,AS_A_I_15_4-20240720,1660,0,1660,0,1660,0,0,AS_A_I_15_4-20240720_8,early_infected
9,AS_A_I_15_4-20240720,2246,0,2246,0,2246,0,0,AS_A_I_15_4-20240720_9,early_infected
10,AS_A_I_15_4-20240720,2496,0,2496,0,2496,4,0,AS_A_I_15_4-20240720_10,early_infected
11,AS_A_I_15_4-20240720,2212,0,2212,0,2212,0,0,AS_A_I_15_4-20240720_11,early_infected
12,AS_A_I_15_4-20240720,5615,0,5615,0,5615,74,0,AS_A_I_15_4-20240720_12,dead
13,AS_A_I_15_4-20240720,4260,0,4260,0,4260,24,0,AS_A_I_15_4-20240720_13,early_infected
14,AS_A_I_15_4-20240720,2850,91,2850,0,2850,96,1.054945054945055,AS_A_I_15_4-20240720_14,uninfected
15,AS_A_I_15_4-20240720,936,0,936,0,936,0,0,AS_A_I_15_4-20240720_15,early_infected
16,AS_A_I_15_4-20240720,273,0,273,0,273,31,0,AS_A_I_15_4-20240720_16,early_infected
17,AS_A_I_15_4-20240720,2530,0,2530,0,2530,34,0,AS_A_I_15_4-20240720_17,early_infected
18,AS_A_I_15_4-20240720,5826,0,5826,0,5826,65,0,AS_A_I_15_4-20240720_18,dead
19,AS_A_I_15_4-20240720,6712,0,6712,0,6712,3,0,AS_A_I_15_4-20240720_19,early_infected
20,AS_A_I_15_4-20240720,1131,0,1131,0,1131,87,0,AS_A_I_15_4-20240720_20,late_infected
21,AS_A_I_15_4-20240720,3522,0,3522,0,3522,48,0,AS_A_I_15_4-20240720_21,late_infected
22,AS_A_I_15_4-20240720,2870,0,2870,0,2870,2,0,AS_A_I_15_4-20240720_22,early_infected
23,AS_A_I_15_4-20240720,4560,35,4560,0,4560,5,0.14285714285714285,AS_A_I_15_4-20240720_23,uninfected
24,AS_A_I_15_4-20240720,2664,0,2664,0,2664,87,0,AS_A_I_15_4-20240720_24,late_infected
25,AS_A_I_15_4-20240720,4758,0,4758,0,4758,63,0,AS_A_I_15_4-20240720_25,dead
26,AS_A_I_15_4-20240720,3444,4,3444,0,3444,43,10.75,AS_A_I_15_4-20240720_26,late_infected
27,AS_A_I_15_4-20240720,3742,0,3742,0,3742,95,0,AS_A_I_15_4-20240720_27,dead
28,AS_A_I_15_4-20240720,2168,0,2168,0,2168,6,0,AS_A_I_15_4-20240720_28,early_infected
1,AS_A_I_22_5-20240718,2324,74,2324,0,2324,0,0,AS_A_I_22_5-20240718_1,uninfected
2,AS_A_I_22_5-20240718,6136,28,6136,0,6136,1,0.035714286,AS_A_I_22_5-20240718_2,early_infected
3,AS_A_I_22_5-20240718,3890,61,3890,0,3890,0,0,AS_A_I_22_5-20240718_3,uninfected
4,AS_A_I_22_5-20240718,4558,9,4558,0,4558,29,3.2222222222222223,AS_A_I_22_5-20240718_4,early_infected
5,AS_A_I_22_5-20240718,3334,25,3334,0,3334,1,0.04,AS_A_I_22_5-20240718_5,early_infected
6,AS_A_I_22_5-20240718,1944,54,1944,0,1944,0,0,AS_A_I_22_5-20240718_6,uninfected
7,AS_A_I_22_5-20240718,2630,54,2630,0,2630,0,0,AS_A_I_22_5-20240718_7,uninfected
8,AS_A_I_22_5-20240718,2684,26,2684,0,2684,13,0.5,AS_A_I_22_5-20240718_8,early_infected
