Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Manual_Match
1,335901,1180954,3.5157799470677373,0.7785543113877068,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_1,late_infected,FP,NA
2,185574,765966,4.127550195609299,0.8049750930071253,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_2,dead,FP,NA
3,188426,745484,3.956375447125131,0.7982396590677903,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_3,late_infected,FP,NA
4,319293,1127052,3.529836231924909,0.7792414672847765,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_4,late_infected,FP,NA
5,229759,894180,3.891817077894664,0.7955769841601724,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_5,late_infected,FP,NA
6,192257,844020,4.390061220137628,0.8144733502721763,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_6,dead,FP,NA
7,268297,1023860,3.816144049318479,0.7923650144680561,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_7,late_infected,FP,NA
8,279786,1007558,3.6011737542264446,0.7826641519283113,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_8,late_infected,FP,NA
9,331952,1169205,3.5222110425603703,0.7788692321988973,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_9,late_infected,FP,NA
10,297177,1028703,3.461583500741982,0.7758643316137207,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_10,late_infected,FP,NA
11,292726,1050833,3.5898177818164427,0.7821264269004934,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_11,late_infected,FP,NA
12,141781,757234,5.340870779582596,0.842292954,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_12,dead,TP,AS_A_I_15_4-20240720_27
13,97018,599038,6.174503700344266,0.8606175365200501,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_13,dead,FP,NA
14,62836,547316,8.710229804570629,0.8970158255647773,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_14,dead,FP,NA/12
15,127207,558315,4.389027333401463,0.8144377569210033,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_15,dead,FP,NA
16,164059,787526,4.800260881755953,0.8275939616534519,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_16,dead,FP,NA
17,187937,697294,3.7102539680850497,0.7876972225328756,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_17,late_infected,FP,NA
18,49253,464605,9.433029460134408,0.9041505629960028,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_18,dead,TP,AS_A_I_15_4-20240720_12
