Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Manual_Match
1,50498,47891,0.948374193,0.48675156775655815,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_1,early_infected,TP,AS_A_I_15_4-20240720_23
2,23768,167014,7.026842813867384,0.8754180163747104,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_2,dead,TP,AS_A_I_15_4-20240720_18
3,273786,220206,0.8042997085314808,0.4457683525239275,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_3,early_infected,TP,AS_A_I_15_4-20240720_5
1,32789,17618,0.537314343,0.34951494832066976,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_1,early_infected,TP,AS_A_I_22_4-20240718_15
2,25049,154714,6.176454149866262,0.8606554185232779,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_2,dead,FP,NA
1,13449,70704,5.257193843408432,0.8401839506612955,AS_B_I_15_4-20240724,AS_B_I_15_4-20240724_1,dead,TP,AS_B_I_15_4-20240724_13
2,20764,288352,13.887112309766904,0.932827806,AS_B_I_15_4-20240724,AS_B_I_15_4-20240724_2,dead,TP,AS_B_I_15_4-20240724_10
3,158332,1376961,8.696669025,0.8968718023204691,AS_B_I_15_4-20240724,AS_B_I_15_4-20240724_3,dead,TP,AS_B_I_15_4-20240724_20
1,374490,169127,0.45161953590216025,0.3111142587520258,AS_B_I_22_5-20240720,AS_B_I_22_5-20240720_1,early_infected,TP,AS_B_I_22_5-20240720_27
2,348376,134362,0.38568098835740694,0.27833317451702577,AS_B_I_22_5-20240720,AS_B_I_22_5-20240720_2,early_infected,TP,AS_B_I_22_5-20240720_16
3,421767,155203,0.3679827961884168,0.26899665493873165,AS_B_I_22_5-20240720,AS_B_I_22_5-20240720_3,early_infected,TP,AS_B_I_22_5-20240720_13
1,211278,54496,0.2579350429292212,0.20504639279989767,AS_B_I_22_6-20240717,AS_B_I_22_6-20240717_1,early_infected,TP,AS_B_I_22_6-20240717_5
2,175223,40503,0.2311511616625671,0.1877520558486228,AS_B_I_22_6-20240717,AS_B_I_22_6-20240717_2,uninfected,FP,NA/5
1,26470,24523,0.9264450321118248,0.4809091443923676,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_1,early_infected,FP,NA/11
2,69338,45760,0.6599555799128904,0.3975742410815131,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_2,early_infected,TP,AS_B_U_15_1-20240726_11
3,97802,80462,0.8227030122083393,0.45136426872503704,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_3,early_infected,TP,AS_B_U_15_1-20240726_28
4,516780,225008,0.43540384689809974,0.30333194929009366,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_4,early_infected,TP,AS_B_U_15_1-20240726_12
5,268515,139000,0.5176619555704522,0.3410917389543943,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_5,early_infected,TP,AS_B_U_15_1-20240726_26
6,147300,55037,0.3736388323150034,0.27200660284574746,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_6,early_infected,TP,AS_B_U_15_1-20240726_13
7,196741,80861,0.4110022821882577,0.291283924,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_7,early_infected,TP,AS_B_U_15_1-20240726_6
8,96632,50984,0.5276099014819108,0.3453826143507479,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_8,early_infected,TP,AS_B_U_15_1-20240726_5
9,125590,1205862,9.601576558643204,0.9056744065876952,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_9,dead,TP,AS_B_U_15_1-20240726_10
10,89381,45117,0.5047717076336135,0.3354473672470966,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_10,early_infected,TP,AS_B_U_15_1-20240726_17
11,258553,130828,0.506000704,0.33598968619424163,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_11,early_infected,TP,AS_B_U_15_1-20240726_3
1,128584,136213,1.0593308654264917,0.5144053746832479,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_1,late_infected,FP,NA
2,93184,89657,0.962150155,0.49035500790304143,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_2,early_infected,TP,AS_C_I_15_3-20240724_5
3,143532,1138346,7.930956163085583,0.8880299061221114,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_3,dead,TP,AS_C_I_15_3-20240724_1
4,151221,129165,0.8541472414545599,0.4606685069867968,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_4,early_infected,TP,AS_C_I_15_3-20240724_18
5,94693,108492,1.1457235487311628,0.533956739,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_5,late_infected,TP,AS_C_I_15_3-20240724_10
6,152798,131360,0.8596971164544038,0.4622780284208081,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_6,early_infected,TP,AS_C_I_15_3-20240724_13
7,213549,142025,0.6650698434551321,0.39942459234927186,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_7,early_infected,TP,AS_C_I_15_3-20240724_12
8,106101,114172,1.076069029,0.5183204478079474,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_8,late_infected,TP,AS_C_I_15_3-20240724_24
9,58629,54346,0.9269474151017416,0.4810444788670059,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_9,early_infected,FP,NA/24
1,206425,221347,1.0722877558435266,0.5174415342752682,AS_STARTER_2-20240716,AS_STARTER_2-20240716_1,late_infected,FP,NA
2,21032,56659,2.6939425637124383,0.7292865325455973,AS_STARTER_2-20240716,AS_STARTER_2-20240716_2,late_infected,TP,AS_STARTER_2-20240716_23
1,204941,225619,1.1008973314270936,0.5240129134150874,AS_STARTER_5-20240716,AS_STARTER_5-20240716_1,late_infected,FP,NA
2,52951,342991,6.47751695,0.8662657661980795,AS_STARTER_5-20240716,AS_STARTER_5-20240716_2,dead,FP,NA
3,17770,91215,5.133089476646033,0.8369500389961921,AS_STARTER_5-20240716,AS_STARTER_5-20240716_3,dead,FP,NA
4,9983,50977,5.106380847440649,0.8362368766404199,AS_STARTER_5-20240716,AS_STARTER_5-20240716_4,dead,FP,NA
5,20441,112146,5.486326500660438,0.8458295307986454,AS_STARTER_5-20240716,AS_STARTER_5-20240716_5,dead,FP,NA
1,4680,175997,37.60619658119658,0.9740974224721464,AS_Starter_1-20240711,AS_Starter_1-20240711_1,dead,FP,NA
2,27883,31806,1.1406950471613528,0.5328620013737875,AS_Starter_1-20240711,AS_Starter_1-20240711_2,late_infected,TP,AS_Starter_1-20240711_15
3,37613,24372,0.6479674580597133,0.39319190126643544,AS_Starter_1-20240711,AS_Starter_1-20240711_3,early_infected,TP,AS_Starter_1-20240711_38
4,26251,1698624,64.70702068492629,0.9847809261540692,AS_Starter_1-20240711,AS_Starter_1-20240711_4,dead,FP,NA
5,25424,17932,0.7053178099433606,0.41359904050189134,AS_Starter_1-20240711,AS_Starter_1-20240711_5,early_infected,TP,AS_Starter_1-20240711_17
6,24901,19833,0.7964740371872615,0.44335404837483794,AS_Starter_1-20240711,AS_Starter_1-20240711_6,early_infected,TP,AS_Starter_1-20240711_19
7,33547,20627,0.6148686916862909,0.3807546055303282,AS_Starter_1-20240711,AS_Starter_1-20240711_7,early_infected,TP,AS_Starter_1-20240711_12
8,21659,20021,0.92437324,0.4803502879078695,AS_Starter_1-20240711,AS_Starter_1-20240711_8,early_infected,TP,AS_Starter_1-20240711_13
1,12036,176394,14.655533399800598,0.9361248208883935,AS_Starter_3-20240711,AS_Starter_3-20240711_1,dead,TP,AS_Starter_3-20240711_11
2,18067,561084,31.055736979022527,0.9688043360021824,AS_Starter_3-20240711,AS_Starter_3-20240711_2,dead,FP,NA
3,2959,93586,31.627576884082465,0.9693510798073436,AS_Starter_3-20240711,AS_Starter_3-20240711_3,dead,FP,NA
