Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
1,930750,0,0,0,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_1,uninfected,TP,AS_A_I_15_4-20240720_1,AS_A_I_15_4-20240720_1
2,1080945,0,0,0,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_2,uninfected,TP,AS_A_I_15_4-20240720_5,AS_A_I_15_4-20240720_5
3,570945,50490,0.088432336,0.081247435,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_3,uninfected,TP,AS_A_I_15_4-20240720_7,AS_A_I_15_4-20240720_7
4,430695,168045,0.3901716992303138,0.280664395,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_4,early_infected,TP,AS_A_I_15_4-20240720_12,AS_A_I_15_4-20240720_12
5,834870,643620,0.7709224190592547,0.4353225250086237,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_5,early_infected,TP,AS_A_I_15_4-20240720_27,AS_A_I_15_4-20240720_27
6,621690,0,0,0,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_6,uninfected,FP,NA/5,NA
7,587010,97665,0.16637706342311034,0.14264432029795157,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_7,uninfected,TP,AS_A_I_15_4-20240720_21,AS_A_I_15_4-20240720_21
8,189465,499800,2.6379542395693134,0.7251202367739549,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_8,late_infected,TP,AS_A_I_15_4-20240720_18,AS_A_I_15_4-20240720_18
9,255,584970,2294,0.9995642701525056,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_9,dead,TP,AS_A_I_15_4-20240720_13,AS_A_I_15_4-20240720_13
10,154275,457215,2.963636363636364,0.7477064220183486,AS_A_I_15_4-20240720,AS_A_I_15_4-20240720_10,late_infected,TP,AS_A_I_15_4-20240720_25,AS_A_I_15_4-20240720_25
1,1093695,0,0,0,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_1,uninfected,FP,AS_A_I_22_4-20240718_9,AS_A_I_22_4-20240718_9
2,1688610,0,0,0,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_2,uninfected,TP,AS_A_I_22_4-20240718_12,AS_A_I_22_4-20240718_12
3,1204110,0,0,0,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_3,uninfected,TP,AS_A_I_22_4-20240718_14,AS_A_I_22_4-20240718_14
4,1290300,92565,0.07173913,0.06693712,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_4,uninfected,TP,AS_A_I_22_4-20240718_8,AS_A_I_22_4-20240718_8
5,1217370,0,0,0,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_5,uninfected,FP,NA/12,NA
6,872865,372555,0.4268185801928133,0.29914004914004916,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_6,early_infected,TP,AS_A_I_22_4-20240718_1,AS_A_I_22_4-20240718_1
7,197370,576555,2.921188630490956,0.7449752883031302,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_7,late_infected,TP,AS_A_I_22_4-20240718_3,AS_A_I_22_4-20240718_3
8,475065,63240,0.13311862587224907,0.11747986736144007,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_8,uninfected,FP,NA,NA
9,828495,0,0,0,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_9,uninfected,TP,AS_A_I_22_4-20240718_15,AS_A_I_22_4-20240718_15
10,757350,20400,0.026936027,0.026229508,AS_A_I_22_4-20240718,AS_A_I_22_4-20240718_10,uninfected,TP,AS_A_I_22_4-20240718_6,AS_A_I_22_4-20240718_6
